 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Text_Level_119,Find beautiful girl,Ai là mỹ nhân,아름다운 소녀를 찾아라,寻找美丽的女孩,Найди красивую девушку,Trova una bella ragazza,Trouvez une belle fille,美しい少女を探す,Encuentra una chica hermosa,Finde ein schÃ¶nes MÃ¤dchen
Text_Level_120,Find the deer,Tìm chú nai,사슴을 찾아라,找到鹿,Найди оленя,Trova il cervo,Trouver le cerf,鹿を探す,Encuentra el ciervo,Finde das Reh
Text_Level_121,Win Honeycomb Shape Cutting challenge,Thắng thử thách bẻ kẹo,벌집 모양의 절단 챌린지를 획득하십시오,赢得蜂窝形状切割挑战,Вызовите вызов формы сотовой формы,Vinci sfida di taglio a figura a nido d'ape,Gagnez un défi de coupe de forme d'abeilles,ハニカム形状切削チャレンジに勝つ,Gana el desafío de corte de forma de panal,WIND WIGCOMB-Formschneid-Herausforderung
Text_Level_122,Find player among Game master,Tìm người chơi trốn giữa quản trò,게임 마스터 중 플레이어를 찾으십시오,在游戏大师中找到球员,Найти игрок среди игрового мастера,Trova il giocatore tra il maestro del gioco,Trouver un joueur parmi le match Master,ゲームのマスターの中でプレーヤーを探す,Encontrar jugador entre el maestro del juego,Finden Sie den Spieler unter dem Spielmeister
Text_Level_123,Defeat the Murdering Robot Doll,Hạ gục robot búp bê tử thần ,살해 로봇 인형을 물리 쳤습니다,击败谋杀机器人娃娃,Победить убийщую куклу робота,Sconfiggi la bambola del robot di omicidio,Vaincre la poupée de robot d'assassinat,殺害ロボット人形を倒す,Derrotar a la muñeca robot asesina,Besiege den ermordenden Roboterpuppe
Text_Level_124,Help 456 win rock paper scissors ,Lật mặt tên quản trò,도움말 456 승리 바위 종이 가위,帮助456赢得摇滚纸剪刀,Помощь 456 Завоевать ножницы для рок-бумаги,Aiuta 456 Vinci le forbici di carta rock,Aide 456 Gagnez des ciseaux en papier rock,456件のロックペーパーはさみを獲得します,Ayuda 456 Win Rock Paper Tijeras,Hilfe 456 Gewinne Felsenpapierschere
Text_Level_125,Help 456 win paper flip game,Giúp 456 thằng trò đập giấy,도움말 456 Win Paper Flip Game,帮助456赢取纸上翻页游戏,Помощь 456 Win Paper Flip Game,Aiuto 456 Vinci il gioco di flip di carta,Aide 456 Gagnez du jeu de papier,ヘルプ456ペーパーフリップゲームを勝ち取る,Ayuda 456 Win Paper Flip Game,Hilfe 456 Gewinne Papier-Flip-Spiel
Text_Level_126,Help 456 win,Giúp 456 chiến thắng,도움말 456 승리,帮助456胜利,Помочь 456 победа,Aiuta 456 Win.,Aide 456 victoire,456勝利を支援します,Ayudar a la victoria 456,Hilfe 456 Gewinn
Text_Level_127,Help this guy win rock paper scissors ,Giúp chàng trai đánh bại cô nàng,이 녀석이 바위 종이 가위를 얻도록 도와주세요,帮助这家伙赢得摇滚纸剪刀,Помочь этому парню выиграть ножницы для рок-бумаги,Aiuta questo ragazzo vincere le forbici di carta rock,Aider ce gars à gagner des ciseaux en papier rock,この男がロックペーパーハサミを獲得するのを手伝ってください,Ayuda a este tipo a ganar las tijeras de papel de roca.,"Helfen Sie diesem Kerl, den Rock-Papierscheren zu gewinnen"
Text_Level_128,Help him find a lover,Giúp chàng trai tìm người yêu,그가 애인을 찾도록 도와주세요,帮助他找到一个情人,Помочь ему найти любовник,Aiutalo a trovare un amante,Aidez-le à trouver un amoureux,彼が恋人を見つけるのを手伝ってください,Ayudarlo a encontrar un amante,"Helfen Sie ihm, einen Liebhaber zu finden"
Text_Level_129,Help red riding hood find the right road ,Giúp khăn đỏ tìm đường,붉은 승마 후드가 올바른 길을 찾는 데 도움이됩니다,帮助红骑兵罩找到正确的道路,Помогите красной ездой капот найти подходящую дорогу,Aiuta Red Riding Hood Trova la strada giusta,HELP HOWER DE ROULING DE ROUGE Trouver la bonne route,レッドライディングフードを助ける正しい道を見つける,Ayuda a Red Riding Hood Encuentra el camino correcto,"Helfen Sie der roten Reithaube, die richtige Straße zu finden"
Text_Level_130,What did he do?,Cậu bé đã làm gì?,그가 무슨 짓을 한거야?,他做了什么？,Что он делал?,Cosa ha fatto?,Qu'est ce qu'il a fait?,彼が何をした？,¿Qué hizo él?,Was hat er getan?
Text_Level_131,Stamp out a fire,Giúp thỏ dập tắt lửa,발사 스탬프,stamp,Размахивать,Timtra un fuoco,Tamponner un feu,火をつけなさい,Estallar un incendio,Ein Feuer ausdrücken
Text_Level_132,Choose the divergent one,Chọn thứ khác biệt ,발산을 선택하십시오,选择分歧,Выберите расходящийся,Scegli il Divergente,Choisissez le divergent,発散のものを選んでください,Elige el divergente,Wählen Sie den divergenten
Text_Level_133,Help the girl win bowling,Giúp cô nàng thắng bowling,소녀가 볼링을 돕는 데 도움이됩니다,帮助女孩赢得保龄球,Помочь девушке выиграть боулинг,Aiuta la ragazza a vincere il bowling,Aider la fille à gagner du bowling,女の子がボーリングを勝ち取るのを手伝ってください,Ayudar a la niña a ganar bolos,"Hilf dem Mädchen, Bowling zu gewinnen"
Text_Level_134,Find the girl,Tìm mỹ nhân,소녀를 찾아라,找到女孩,Найти девушку,Trova la ragazza,Trouver la fille,女の子を探します,Encontrar la chica,Finde das Mädchen
Text_Level_135,Who is criminal?,Ai là tội phạm,범죄자는 누구입니까?,谁是犯罪？,Кто преступник?,Chi è criminale?,Qui est criminel?,誰が犯罪者ですか？,¿Quién es criminal?,Wer ist kriminell?
Text_Level_136,Take down the thief,Hạ gục tên trộm,도둑을 내밀어 라,走下小偷,Сбивать вору,Togliere il ladro,Prendre le voleur,泥棒を取り下げる,Bajar el ladrón,Nimm den Dieb hinunter
Text_Level_137,Do the math,Giải phương trình,수학을하십시오,算一算,Делать математику,Fai la matematica,Faire le calcul,計算する,Haz las matematicas,Rechne nach
Text_Level_138,Help this kid shoot the apple down,Giúp cậu bé bắn rơi quả táo,이 아이가 사과를 쏠 수 있도록 도와주세요,帮助这个孩子射击苹果,Помочь этим ребенку снимать яблоко вниз,Aiuta questo bambino a sparare in giù,Aider cet enfant à tirer la pomme,この子供がリンゴを撃墜するのを手伝ってください,Ayuda a este niño disparar a la manzana.,"Helfen Sie diesem Kind, den Apfel nach unten zu erschießen"
Text_Level_139,Who ate the cake?,Ai đã ăn cái bánh,누가 케이크를 먹었습니까?,谁吃了蛋糕？,Кто ел торт?,Chi ha mangiato la torta?,Qui a mangé le gâteau?,誰がケーキを食べましたか？,¿Quién comió el pastel?,Wer hat den Kuchen gegessen?
Text_Level_140,Find the real rick kid,Tìm con nhà giàu thực thụ ,진짜 릭 아이를 찾아라,找到真正的瑞克孩子,Найти настоящий Рик Малыш,Trova il vero rick kid,Trouvez le vrai enfant de rick,本物のRick Kidを見つけてください,Encuentra el niño real de Rick,Finde das echte Rick-Kind
Text_Level_141,Cheer the baby,Dỗ em bé,아기를 응원하십시오,欢呼宝宝,Поболеть ребенка,Alagrazione del bambino,Encourager le bébé,赤ちゃんを元気ですかに,Animar al bebé,Jubeln Sie das Baby
Text_Level_142,Which couple is breaking up,căp nào đang chia tay,어떤 부부가 부서지고 있습니다,哪个夫妇正在分手,Какая пара распадается,Quale coppia si sta rompendo,Quel couple se brise,どのカップルが解散しています,Que pareja se está rompiendo,Welches Paar bricht auf
Text_Level_143,What is he hiding,Ai ta đang giấu diếm gì ,그가 숨어있는 것은 무엇입니까?,他隐藏了什么,Что он прячется,Cosa si nasconde,Qu'est-ce qu'il cache,彼は隠しているのですか,Que esta escondiendo,Was versteckt er?
Text_Level_144,Correct the pipe,Nối ống nước,파이프를 수정하십시오,纠正管道,Исправить трубу,Correggere il tubo,Corriger le tuyau,パイプを修正してください,Corrige la tubería,Korrigieren Sie das Rohr
Text_Level_145,Who break the store,Tìm kẻ phá hoại ,누가 가게를 깰,谁打破了商店,Кто разбивает магазин,Chi rompe il negozio,Qui brise le magasin,誰が店を壊すのか,Quien rompe la tienda,Die den Laden brechen
Text_Level_146,Where's her key,Tìm chìa khóa xe,그녀의 열쇠는 어딨어?,她的钥匙在哪里,Где ее ключ,Dov'è la sua chiave,Où est sa clé,彼女の鍵はどこですか,Donde esta su llave,Wo ist ihr Schlüssel?
Text_Level_147,Choose the right piece,Đâu là mảnh ghép đúng,올바른 부분을 선택하십시오,选择右侧,Выберите правильную часть,Scegli il pezzo giusto,Choisissez la bonne pièce,右の部分を選択してください,Elige la pieza correcta,Wählen Sie das richtige Stück aus
Text_Level_148,Find his wife,Ai là vợ anh ấy,그의 아내를 찾아라,找到他的妻子,Найти свою жену,Trova sua moglie,Trouver sa femme,彼の妻を見つけてください,Encuentra a su esposa,Finde seine Frau
Text_Level_149,Change her look,Giúp cô gái xinh đẹp,그녀의 모습을 바꾸십시오,改变她的看法,Изменить ее взгляд,Cambia il suo look.,Changer son regard,彼女の外観を変更してください,Cambiar su mirada,Ändern Sie ihren Look
Text_Level_150,Find Joker,Tìm lá joker,조커를 찾으십시오,找到小丑,Найти Джокер,Trova Joker.,Trouver Joker,ジョーカーを探す,Buscar Joker,Joker finden
Text_Level_151,Find the girl,Tìm Mỹ nhân,소녀를 찾아라,找到女孩,Найти девушку,Trova la ragazza,Trouver la fille,女の子を探します,Encontrar la chica,Finde das Mädchen
Text_Level_152,Light the Bulb,Bật bóng đèn,전구 빛,点亮灯泡,Освещать луковицу,Accendi la lampadina,Allumer l'ampoule,球根を照らす,Encender la bombilla,Leichte die Birne an
Text_Level_153,Get to the treasure,Tiếp cận kho báu,보물에 도착하십시오,treasure,Добраться до сокровища,Arrivare al tesoro,Aller au trésor,宝物に行きなさい,Llegar al tesoro,An den Schatz kommen
Text_Level_154,Find Red car,Tìm chiếc xe đỏ,빨간 차를 찾으십시오,找到红车,Найти красную машину,Trova un'auto rossa,Trouver une voiture rouge,赤い車を見つけてください,Encontrar coche rojo,Finden Sie das rote Auto
Text_Level_155,Change her outfit,Thay trang phục chiến đấu cho cô gái,그녀의 복장을 바꾸십시오,改变她的装备,Изменить ее наряд,Cambia il suo vestito,Changer sa tenue,彼女の服を変える,Cambiar su atuendo,Ändern Sie ihr Outfit
Text_Level_156,Help Santa,Giúp santa đi phát quà,산타 도움말,帮助圣诞老人,Помогите Санта,Aiuta Babbo Natale,Aider Santa,サンタを助ける,Ayudar a santa,Helfen Sie Santa
Text_Level_157,Make Sunflower happy,Giúp hoa hướng dương nở,해바라기를 행복하게해라,让向日葵快乐,Сделать подсолнух счастливым,Rendere felice il girasole,Faire du tournesol heureux,ひまわりを幸せにする,Hacer feliz girasol,Machen Sie Sonnenblume glücklich
Text_Level_158,Save the girl,Giúp cô gái,소녀를 구하십시오,拯救女孩,Спасать девушку,Salva la ragazza,Sauver la fille,女の子を救う,Salvar a la chica,Rette das Mädchen
Text_Level_159,Make his sister happy,Dỗ em gái,그의 여동생을 행복하게해라,让他的妹妹快乐,Сделай его сестру счастливым,Rendere felice sua sorella,Rendre sa sœur heureux,彼の妹を幸せにする,Haz feliz a su hermana,Machen Sie seine Schwester glücklich
Text_Level_160,Help the girl,Cứu cô gái,여자를 돕는다,帮助女孩,Помочь девушке,Aiuta la ragazza,Aider la fille,女の子を助けます,Ayudar a la niña,Hilf dem Mädchen
Text_Level_161,Fix her outfit,Khâu chiếc váy,그녀의 복장을 고쳐주세요,修好她的装备,Исправить ее наряд,Fissare il suo vestito,Réparer sa tenue,彼女の服装を修正しました,Arreglar su atuendo,Ihr Outfit reparieren
Text_Level_162,Help cactus,Giúp thỏ và xương rồng,도움말 선인장,帮助仙人掌,Помочь кактус,Aiuta i cactus,Aider cactus,サボテンを助ける,Ayudar a los cactus,Helfen Sie Kaktus
Text_Level_163,This boy wants to fly,Giúp cậu bé bay cao,이 소년은 날고 싶어합니다,这个男孩想要飞翔,Этот мальчик хочет летать,Questo ragazzo vuole volare,Ce garçon veut voler,この男の子は飛びたいと思っています,Este chico quiere volar,Dieser Junge will fliegen
Text_Level_164,Finish his makeup,Hoàn thành lớp trang điểm cho chú hề,그의 메이크업을 마칩니다,完成他的化妆品,Закончить его макияж,Finire il suo trucco,Terminer son maquillage,彼の化粧を終えなさい,Terminar su maquillaje,Beende sein Make-up.
Text_Level_165,Fix the broken wing,Giúp nàng tiên bay lên,깨진 날개를 고쳐라,修复破碎的翼,Исправить сломанное крыло,Fissare l'ala rotta,Fixer l'aile cassée,壊れた羽を修正してください,Arreglar el ala rota,Den gebrochenen Flügel fixieren
Text_Level_166,Who is the smartest,Đâu là đứa trẻ thiên tài ,똑똑한 사람은 누구입니까?,谁是最聪明的,Кто самый умный,Chi è il più intelligente,Qui est le plus intelligent,誰がSmartestです,¿Quién es el más inteligente?,Wer ist der klügste
Text_Level_167,Which one is baby's mom,Ai là mẹ đứa bé,어느 것이 아기의 엄마 야,哪一个是宝贝的妈妈,Какой из них мама ребенка,Quale è la mamma del bambino,Lequel est la mère de bébé,どれが赤ちゃんのお母さんです,Cual es la mamá del bebe,Welches ist Babys Mutter?
Text_Level_168,Find the fake statue,Ai không phải là tượng,가짜 동상을 찾으십시오,找到假雕像,Найти поддельную статую,Trova la statua falsa,Trouver la fausse statue,偽の像を見つけます,Encontrar la estatua falsa,Finde die gefälschte Statue
Text_Level_169,Hit that monster,Giúp anh hùng hạ gục quái vật ,그 괴물을 치십시오,击中那个怪物,Ударь этот монстр,Colpisci quel mostro,Frapper ce monstre,そのモンスターを打つ,Golpear ese monstruo,Schlag dieses Monster
